seq,frame_id,roll_deg,pitch_deg,height_m
pohang00,16300,-1.2,6.1,3.0
pohang00,16600,-2.7,5.4,3.25
pohang00,16800,0.7,5.3,2.85
pohang00,17300,0.9,5.1,3.0
pohang00,17400,-1.2,6.0,3.0
pohang00,17700,-1.6,5.6,3.2
pohang00,18400,-0.7,6.4,3.15
pohang00,18500,-0.3,5.7,2.95
pohang00,18600,-0.4,6.5,3.0
pohang00,18700,-0.7,5.8,3.35
pohang00,18800,-0.1,5.7,3.0
pohang00,18900,-0.2,6.4,3.0
pohang00,19100,-2.9,6.0,3.2
pohang00,19200,-0.3,5.4,3.25
pohang00,19300,-0.9,5.7,2.65
pohang00,19400,-0.6,6.2,3.1
pohang00,19500,-0.8,5.9,3.5
pohang00,19600,-1.1,6.1,3.0
pohang00,19700,-1.2,6.5,2.7
pohang00,19900,-0.9,6.2,3.0
pohang00,20000,-1.1,6.1,3.1
pohang00,20200,-0.3,6.2,3.35
pohang00,20400,-0.2,6.4,3.35
pohang00,20500,-1.1,6.5,3.1
pohang00,20700,-0.8,6.2,3.0
pohang00,20800,-0.9,6.0,3.0
pohang00,20900,-0.7,6.3,2.9
pohang00,21000,-1.4,6.6,2.9
pohang00,21100,-0.4,6.4,3.35
pohang00,21200,-0.9,6.5,2.95
pohang00,21300,-0.2,6.3,3.1
pohang00,21400,-0.2,5.3,3.25
pohang00,21500,-0.7,5.5,3.0
pohang00,21600,-1.1,4.2,3.0
pohang01,6900,-0.0,3.1,3.15
pohang01,7000,-0.0,3.2,3.15
pohang01,7100,-0.0,3.2,3.15
pohang01,7200,-0.0,3.2,3.05
pohang01,7300,-0.3,3.1,3.0
pohang01,7500,-0.5,3.1,3.0
pohang01,7600,-0.5,3.0,3.2
pohang01,8200,0.3,3.1,3.0
pohang01,8400,0.4,3.1,3.0
pohang01,8600,0.4,3.1,3.25
pohang01,8800,-0.2,2.9,3.25
pohang01,8900,-0.2,2.9,3.0
pohang01,9000,-0.3,2.9,3.0
pohang01,9200,-0.3,2.9,3.0
pohang01,9300,-0.3,2.9,3.0
pohang01,9500,-0.6,3.0,3.0
pohang01,9600,-0.6,3.0,3.0
pohang01,9700,-0.6,2.9,3.0
pohang01,9800,-0.8,3.0,3.0
pohang01,9900,-0.8,3.0,3.0
pohang01,10200,-1.2,3.0,3.0
pohang01,10500,-1.6,3.1,3.0
pohang01,10600,-1.7,3.0,3.5
pohang01,10900,-1.9,2.9,3.0
pohang01,11100,-1.3,3.0,3.0
pohang01,11300,-1.6,3.0,3.25
pohang01,11400,-1.6,3.0,3.0
pohang01,11500,-1.4,3.0,3.0
pohang01,11600,-1.2,3.0,3.0
pohang01,11700,-1.2,3.0,3.0
pohang01,11900,-1.0,3.1,2.95
pohang01,12000,-1.0,3.0,3.2
pohang01,12100,-1.0,3.1,3.0
pohang01,12200,-1.0,3.0,3.1
pohang01,12500,-1.2,3.0,3.45
pohang01,12600,-0.7,3.0,3.15
pohang01,12800,-1.1,3.0,3.0
pohang01,13300,-0.7,3.0,3.0
pohang01,13400,-0.5,3.0,3.35
pohang01,13500,-0.3,3.0,2.7
pohang01,13600,-0.7,3.0,3.25
pohang01,13800,-0.9,3.1,2.9
pohang01,13900,-0.7,3.1,3.05
pohang01,14000,-1.0,3.0,3.1
pohang01,14200,-1.1,3.1,3.0
pohang01,14300,-0.9,3.2,3.0
pohang01,14400,-0.7,3.1,3.0
pohang01,14500,-0.4,3.1,3.0
pohang01,14700,-0.4,3.1,3.0
pohang01,15100,-0.8,3.2,3.0
pohang01,15200,-0.7,3.0,3.0
pohang01,15300,-0.4,3.0,3.0
pohang01,15400,-0.8,3.0,3.0
pohang01,15600,-0.7,3.1,3.1
pohang01,15700,-0.6,3.0,3.3
pohang01,15800,-0.3,2.9,3.45
pohang01,16700,-0.1,3.1,3.0
pohang01,16800,-0.2,2.9,3.0
pohang01,17000,-0.4,3.3,3.0
pohang01,17100,-0.4,3.1,3.0
pohang01,17200,-0.4,3.3,3.0
pohang01,17300,0.3,3.0,3.0
pohang01,21100,-3.4,3.8,3.0
pohang01,21200,0.6,4.7,3.0
pohang01,21300,-1.8,5.0,3.0
pohang01,21400,-4.2,3.8,3.0
pohang01,21500,4.1,6.0,3.0
pohang01,22000,-0.7,5.1,3.0
pohang01,22100,-2.3,4.6,3.0
pohang01,22200,-0.6,4.8,3.0
pohang01,22300,-1.2,4.9,3.2
pohang01,22500,-0.2,4.7,3.0
pohang01,22600,0.3,5.6,3.35
pohang01,22800,0.1,5.4,3.5
pohang01,22900,-1.4,6.3,3.0
pohang01,23000,-1.1,5.8,3.0
pohang01,23100,-0.5,6.2,3.3
pohang01,23600,-0.5,5.9,3.0
pohang01,23700,-0.8,5.4,3.0
pohang01,23800,-0.8,5.9,3.0
pohang01,23900,-0.8,6.3,3.0
pohang01,24000,-0.9,6.3,3.0
pohang01,24100,-0.6,6.5,3.0
pohang02,8400,-0.0,2.5,3.25
pohang02,8500,-0.0,2.5,3.25
pohang02,8600,-0.1,2.5,3.1
pohang02,8700,-0.1,2.6,3.05
pohang02,8800,-0.1,2.7,3.0
pohang02,8900,-0.3,2.7,3.0
pohang02,9000,-0.3,2.6,3.15
pohang02,9200,-0.3,2.6,3.2
pohang02,9300,-0.3,2.7,3.0
pohang02,9400,-0.4,2.6,3.25
pohang02,9500,-0.4,2.6,3.05
pohang02,9600,-0.4,2.6,3.0
pohang02,9700,-0.2,2.6,3.0
pohang02,9800,-0.1,2.6,3.0
pohang02,9900,-0.5,2.6,3.0
pohang02,10000,-0.5,2.6,3.25
pohang02,10100,-0.4,2.6,3.2
pohang02,10200,-0.4,2.4,3.25
pohang02,10300,-0.2,2.6,2.85
pohang02,10400,-0.2,2.6,3.1
pohang02,10500,-0.2,2.6,3.45
pohang02,10700,-0.3,2.5,3.1
pohang02,10800,-0.2,2.7,3.35
pohang02,10900,-0.2,2.7,2.8
pohang02,11000,-0.2,2.6,3.3
pohang02,11200,-0.2,2.6,3.2
pohang02,11300,-0.1,2.6,2.9
pohang02,11400,-0.2,2.6,3.1
pohang02,11600,-0.2,2.7,2.85
pohang02,11800,-0.6,2.7,3.0
pohang02,11900,-0.6,2.6,3.0
pohang02,12000,-0.4,2.8,3.0
pohang02,12100,-0.5,2.7,3.0
pohang02,12200,-0.0,3.2,2.95
pohang02,12300,0.1,2.8,2.95
pohang02,12400,-0.3,2.8,3.0
pohang02,12500,0.1,2.9,2.95
pohang02,12600,-0.3,2.9,3.0
pohang02,12700,0.1,2.7,3.0
pohang02,12800,-0.0,2.3,3.0
pohang02,13100,-0.3,2.8,3.0
pohang02,13200,-0.2,2.6,3.5
pohang02,13300,0.2,2.5,3.5
pohang02,13400,-0.5,2.5,3.25
pohang02,13500,-0.3,2.6,3.1
pohang02,13700,-0.4,2.5,3.0
pohang02,13800,-0.0,2.3,3.5
pohang02,13900,-0.1,2.3,3.3
pohang02,14000,-0.5,2.4,3.0
pohang02,14100,0.3,3.2,2.85
pohang02,14200,-0.3,2.9,3.15
pohang02,14300,-0.3,2.5,3.0
pohang02,14400,0.2,2.5,3.25
pohang02,14500,-0.4,2.8,3.0
pohang02,14600,-0.3,2.6,3.1
pohang02,14700,-0.3,2.6,3.0
pohang02,14800,-0.4,3.9,3.0
pohang02,14900,-0.3,3.9,3.0
pohang02,15000,-0.3,3.8,3.1
pohang02,15100,0.1,4.6,3.0
pohang02,15200,-0.3,4.7,2.8
pohang02,15300,-0.4,4.5,3.0
pohang02,15400,-0.0,4.7,3.0
pohang02,15500,-0.1,4.8,3.0
pohang02,15600,-1.3,4.6,3.0
pohang02,15700,0.6,5.3,3.0
pohang02,15800,-0.0,4.4,2.75
pohang02,15900,4.7,4.0,2.55
pohang02,16000,2.5,3.2,2.7
pohang02,16100,-1.9,1.9,3.0
pohang02,16200,2.3,4.4,3.0
pohang02,16300,1.8,2.7,3.0
pohang02,16400,-3.6,5.7,3.0
pohang02,16500,-0.0,3.7,2.5
pohang02,16600,3.4,1.7,3.0
pohang02,17000,-0.0,3.9,3.0
pohang02,17200,-0.2,5.5,2.7
pohang02,17400,1.6,4.2,2.8
pohang02,17600,-0.3,4.6,2.85
pohang02,17700,-2.0,2.3,3.0
pohang02,17900,0.6,4.2,3.5
pohang02,18000,1.7,3.3,3.0
pohang02,18100,-2.6,4.5,3.4
pohang02,18200,-0.4,3.1,3.0
pohang02,18300,1.1,3.0,3.0
pohang02,18400,-0.7,2.5,3.0
pohang02,18500,-5.8,5.0,3.0
pohang02,19100,-1.1,4.9,3.45
pohang02,19200,-2.0,4.1,2.8
pohang02,19300,-0.2,6.5,3.0
pohang02,19500,-1.3,5.0,3.4
pohang02,19600,-2.0,6.5,3.0
pohang02,19700,-1.4,5.0,3.35
pohang02,19800,-0.6,4.3,3.05
pohang02,20000,-0.5,5.1,3.5
pohang02,20100,-1.4,4.3,3.5
pohang02,20200,-1.8,4.6,3.35
pohang02,20300,-2.2,5.6,3.35
pohang02,20400,-1.6,6.9,3.0
pohang02,20600,-1.9,6.7,2.9
pohang02,21000,-1.3,6.3,3.0
pohang02,21100,-1.2,5.7,3.3
pohang02,21200,-0.9,5.7,2.7
pohang02,21300,-1.3,5.5,2.7
pohang02,21500,-1.1,6.0,2.8
pohang02,21700,-1.2,6.2,3.0
pohang02,21800,-1.1,6.3,3.3
pohang02,21900,-1.0,5.9,2.95
pohang02,22200,-0.7,3.9,3.0
pohang02,22400,-1.5,2.2,3.0
pohang03,8000,0.7,3.1,3.05
pohang03,8100,0.7,3.1,3.15
pohang03,8200,0.7,3.1,3.05
pohang03,8300,0.7,3.2,3.0
pohang03,8400,0.6,3.3,3.2
pohang03,8500,0.5,3.2,3.25
pohang03,8600,1.1,3.4,3.1
pohang03,8700,0.7,3.2,3.3
pohang03,8800,0.6,3.1,3.5
pohang03,8900,0.6,3.2,3.05
pohang03,9000,0.5,3.2,3.05
pohang03,9100,0.5,3.2,3.0
pohang03,9200,0.8,3.2,3.0
pohang03,9400,0.8,3.3,3.0
pohang03,9600,0.8,3.2,3.0
pohang03,9800,0.6,3.2,3.0
pohang03,9900,0.4,3.3,3.45
pohang03,10200,0.4,3.2,3.3
pohang03,10300,0.5,3.3,3.0
pohang03,10400,0.2,3.2,3.0
pohang03,10500,0.5,3.2,2.9
pohang03,10600,0.5,3.2,3.45
pohang03,10700,0.5,3.1,3.4
pohang03,10800,0.2,3.2,3.45
pohang03,10900,0.5,3.2,3.5
pohang03,11200,0.5,3.2,3.0
pohang03,11300,0.3,3.1,3.0
pohang03,11400,0.4,3.1,3.25
pohang03,11500,0.3,3.2,3.25
pohang03,11600,0.5,3.3,3.0
pohang03,11700,0.3,3.2,3.05
pohang03,11800,0.3,3.3,3.0
pohang03,12000,0.4,3.3,3.3
pohang03,12100,0.1,3.2,3.15
pohang03,12200,0.1,3.1,3.1
pohang03,12300,0.2,3.1,3.0
pohang03,12400,0.1,3.2,3.0
pohang03,12500,0.2,3.1,3.15
pohang03,12600,0.1,3.1,3.1
pohang03,12700,0.5,3.3,2.95
pohang03,12800,0.6,3.1,3.0
pohang03,12900,0.4,3.0,3.0
pohang03,13000,0.1,3.3,2.75
pohang03,13100,0.1,3.2,2.75
pohang03,13200,-0.0,3.0,3.0
pohang03,13300,0.3,3.0,3.15
pohang03,13400,0.4,3.3,2.95
pohang03,13500,0.7,3.1,2.95
pohang03,13600,0.6,3.3,2.95
pohang03,13700,0.3,3.0,3.0
pohang03,13800,0.8,3.4,3.0
pohang03,13900,0.8,3.4,2.9
pohang03,14000,0.9,3.1,3.25
pohang03,14100,0.4,3.3,2.95
pohang03,14200,0.4,3.4,3.25
pohang03,14300,0.3,3.4,3.05
pohang03,14400,0.9,3.4,3.45
pohang03,14600,0.5,3.1,3.0
pohang03,14700,1.1,3.0,3.0
pohang03,14800,0.7,3.3,3.25
pohang03,14900,0.9,3.4,3.2
pohang03,15000,-0.1,3.4,3.0
pohang03,15100,0.6,3.2,3.3
pohang03,15200,0.3,3.3,3.45
pohang03,15300,-0.3,3.2,3.25
pohang03,15400,0.7,3.1,3.35
pohang03,15500,0.5,3.3,3.2
pohang03,15600,0.5,3.1,3.0
pohang03,15700,-0.1,3.4,3.0
pohang03,15800,0.6,3.8,3.0
pohang03,15900,0.3,3.7,3.0
pohang03,16000,-0.1,3.3,3.0
pohang03,16100,0.2,3.4,3.0
pohang03,16200,-0.1,3.0,3.0
pohang03,16300,0.3,3.9,3.0
pohang03,16700,0.9,3.3,3.0
pohang03,16800,0.1,3.4,3.0
pohang03,16900,0.6,3.7,3.0
pohang03,17000,0.7,3.8,3.0
pohang03,17100,1.2,4.0,3.0
pohang03,17300,0.4,3.3,3.0
pohang03,17400,0.4,4.0,3.0
pohang03,17600,0.4,6.5,3.5
pohang03,17700,-0.0,6.0,3.0
pohang03,17800,0.7,6.2,3.0
pohang03,17900,-1.0,5.8,3.15
pohang03,18000,-1.4,5.5,3.1
pohang03,18100,-1.5,5.8,3.1
pohang03,18200,-2.3,5.7,3.0
pohang03,18300,1.3,5.6,3.0
pohang03,18400,-2.2,6.7,3.0
pohang03,18500,1.1,5.6,3.0
pohang03,18600,0.1,5.6,3.65
pohang03,18700,-0.3,5.2,3.0
pohang03,18800,-1.8,6.5,3.0
pohang03,18900,-0.2,5.4,3.3
pohang03,19000,-0.6,6.0,3.3
pohang03,19100,1.2,5.8,3.0
pohang03,19200,0.7,6.4,3.3
pohang03,19300,-1.2,5.7,3.2
pohang03,19400,0.2,6.0,3.0
pohang03,19500,-1.7,6.8,3.0
pohang03,19700,0.4,6.5,2.65
pohang03,19900,-0.4,6.1,3.0
pohang03,20000,-0.3,6.4,3.0
pohang03,20100,-1.2,6.0,3.2
pohang03,20300,-0.1,6.3,3.0
pohang03,20700,-0.0,6.2,3.0
pohang03,20800,-0.0,5.8,3.0
pohang03,20900,-0.2,6.8,3.25
pohang03,21000,-0.5,6.4,3.1
pohang03,21100,-0.3,6.5,2.6
pohang03,21200,-0.0,6.8,2.7
pohang03,21400,-0.4,5.9,2.9
pohang03,21500,-0.7,6.3,2.95
pohang03,21600,-0.6,6.6,2.9
pohang03,21700,-0.6,6.3,2.8
pohang03,21800,-0.3,6.4,3.0
pohang03,21900,-1.2,6.4,2.95
pohang03,22000,-0.3,6.4,2.85
pohang03,22100,-0.7,6.4,3.0
pohang03,22200,-0.5,6.5,3.0
pohang03,22300,-0.5,6.4,3.5
pohang03,22400,-0.1,6.3,3.0
pohang03,22500,-0.5,6.4,2.65
pohang03,22600,-0.4,6.6,3.0
pohang03,22700,-0.0,6.4,3.0
pohang03,22800,-0.4,6.6,3.0
pohang03,22900,-1.0,6.5,3.0
pohang03,23000,-0.1,6.5,3.0
pohang03,23100,-0.5,6.2,3.0
pohang03,23200,0.2,6.3,3.0
pohang03,23300,-0.8,5.8,3.0
pohang03,23400,-0.5,5.6,3.45
pohang03,23500,-0.4,6.0,2.85
pohang03,23600,0.1,5.9,3.0
pohang03,23700,0.3,3.2,3.0
pohang03,23800,-0.7,3.1,3.1
pohang03,23900,-0.7,3.3,3.0
pohang03,24000,-0.3,3.3,3.0
pohang04,6600,0.3,3.2,3.15
pohang04,6700,0.5,3.2,3.15
pohang04,6800,0.3,3.6,2.95
pohang04,7000,0.5,3.6,3.25
pohang04,7100,0.7,3.8,3.1
pohang04,7200,0.6,3.8,3.15
pohang04,7300,-0.0,3.5,3.45
pohang04,7400,-0.4,3.5,3.45
pohang04,7500,-0.4,3.7,2.8
pohang04,7600,-0.4,3.7,2.9
pohang04,7700,-0.4,3.5,3.05
pohang04,7800,-0.1,3.5,3.1
pohang04,7900,-0.3,3.5,2.8
pohang04,8000,-0.2,3.4,3.0
pohang04,8100,-0.2,3.4,3.0
pohang04,8200,-0.2,3.4,3.2
pohang04,8400,-0.2,3.4,3.0
pohang04,8600,-0.2,3.3,3.0
pohang04,8700,-0.5,3.5,3.0
pohang04,8800,-0.5,3.7,3.2
pohang04,8900,-0.5,3.6,3.25
pohang04,9000,-0.5,3.5,3.35
pohang04,9100,-0.5,3.5,3.25
pohang04,9200,-0.6,3.4,3.15
pohang04,9300,-0.5,3.4,3.25
pohang04,9400,-0.6,3.5,3.0
pohang04,9500,-0.6,3.6,3.0
pohang04,9600,-0.6,3.5,3.15
pohang04,9700,-0.4,3.8,3.0
pohang04,9800,-0.2,3.7,3.0
pohang04,9900,-0.5,3.5,3.0
pohang04,10000,-0.5,3.5,3.0
pohang04,10100,-0.5,3.7,3.0
pohang04,10200,-0.5,3.5,3.4
pohang04,10300,-0.5,3.6,3.35
pohang04,10400,-0.5,3.7,3.25
pohang04,10500,-0.7,3.4,3.5
pohang04,10600,-0.7,3.3,3.2
pohang04,10700,-0.3,3.9,3.15
pohang04,10900,-0.8,3.3,3.45
pohang04,11100,-0.6,3.4,3.25
pohang04,11200,-0.1,2.7,3.25
pohang04,11300,-0.6,3.5,3.35
pohang04,11400,-0.8,3.6,2.8
pohang04,11500,-0.8,3.2,2.85
pohang04,11700,-0.4,3.5,2.85
pohang04,11800,-1.2,3.6,3.25
pohang04,11900,-0.5,3.9,3.0
pohang04,12000,0.4,3.7,3.0
pohang04,12100,-0.1,3.9,3.0
pohang04,12200,-0.7,4.1,3.0
pohang04,12400,-1.2,3.2,3.1
pohang04,12500,-0.7,3.6,3.2
pohang04,12800,-1.3,3.7,3.1
pohang04,12900,-1.1,3.6,3.2
pohang04,13100,0.8,3.2,3.25
pohang04,13300,-1.5,4.2,3.15
pohang04,13400,-2.1,3.7,2.9
pohang04,13500,-0.6,4.3,3.1
pohang04,13700,-0.7,4.5,3.35
pohang04,13900,-1.3,3.8,3.2
pohang04,14100,-0.7,3.8,3.1
pohang04,14200,-0.2,4.3,3.0
pohang04,14300,-0.6,4.5,3.0
pohang04,14400,0.5,4.0,3.0
pohang04,14500,-0.2,3.6,3.25
pohang04,14700,0.3,3.2,3.1
pohang04,14800,-0.4,3.7,3.3
pohang04,14900,0.2,3.7,3.55
pohang04,15100,-1.6,5.9,3.0
pohang04,15200,-0.9,6.2,3.1
pohang04,15300,-0.8,6.1,3.0
pohang04,15500,-0.9,6.2,3.15
pohang04,15600,-1.1,6.0,3.0
pohang04,15800,-0.1,6.6,3.0
pohang04,15900,-1.0,6.2,3.0
pohang04,16000,-1.5,5.7,3.0
pohang04,16100,-0.0,5.3,3.0
pohang04,16300,1.7,6.8,3.0
pohang04,16700,-0.3,5.8,3.4
pohang04,16800,-1.1,6.2,3.5
pohang04,17600,-0.5,5.3,3.0
pohang04,17700,1.7,5.1,3.15
pohang04,17800,-2.7,6.8,3.35
pohang04,18100,-2.3,6.2,3.3
pohang04,18800,-1.9,5.8,3.35
pohang04,18900,-2.0,5.9,3.1
pohang04,19000,-1.7,6.2,2.9
pohang04,19100,-2.6,6.6,2.9
pohang04,19200,-2.3,6.7,3.5
pohang04,19300,-2.1,6.5,2.7
pohang04,19400,-2.4,6.4,2.65
pohang04,19500,-2.1,6.5,2.8
pohang04,19600,-2.0,6.2,3.0
pohang04,19700,-2.1,6.2,3.0
pohang04,19900,-2.6,5.9,2.8
pohang04,20000,-2.0,5.9,3.5
pohang04,20400,-1.6,6.1,3.3
pohang04,20600,-2.1,6.2,3.0
pohang04,20700,-2.3,5.9,2.9
pohang04,21000,-2.1,6.3,2.95
pohang04,21100,-2.2,5.8,3.25
pohang04,21200,-1.5,5.5,3.0
pohang04,21400,-1.8,5.6,3.2
pohang04,21600,-2.1,5.9,3.0
pohang04,21700,-2.1,4.1,3.0
pohang04,21800,-1.8,3.6,3.0
pohang04,22000,-2.5,3.1,3.0
pohang05,4700,-0.0,3.1,3.0
pohang05,4800,-0.0,2.9,3.3
pohang05,5000,-0.0,2.8,2.9
pohang05,5100,-0.0,2.8,2.8
pohang05,5200,-0.0,2.9,2.8
pohang05,5300,-0.0,3.0,3.1
pohang05,5500,0.1,2.9,3.1
pohang05,6300,-0.3,3.0,3.35
pohang05,6500,-0.3,3.0,3.1
pohang05,6700,-0.3,3.1,3.3
pohang05,6800,-0.3,3.1,2.95
pohang05,7300,-0.3,3.2,3.5
pohang05,7500,-0.7,3.2,3.5
pohang05,7900,-0.7,3.6,3.5
pohang05,8000,-0.2,3.7,3.35
pohang05,8100,-0.5,3.7,3.35
pohang05,8200,-0.9,3.8,3.5
pohang05,8300,-0.4,3.8,3.0
pohang05,8600,-0.4,3.8,3.25
pohang05,8900,0.3,4.0,3.0
pohang05,9000,0.3,4.0,3.0
pohang05,9800,-0.1,4.0,3.0
pohang05,11400,-0.3,4.0,3.0
pohang05,11800,-0.3,4.2,3.15
pohang05,12400,-0.6,5.5,3.25
pohang05,15100,0.7,5.4,3.0
pohang05,15200,0.8,5.0,3.0
pohang05,15500,0.8,5.7,3.0
pohang05,15600,0.3,5.5,3.0
pohang05,16000,0.5,5.6,3.0
pohang05,16100,0.2,6.0,3.0
pohang05,16200,-0.0,5.8,3.0
pohang05,16700,-0.5,5.7,3.0
pohang05,17200,-0.5,5.9,3.0
pohang05,17300,-0.0,6.4,3.0
pohang05,17400,0.2,6.1,3.0
pohang05,18700,-0.4,3.9,3.0
pohang05,18800,-0.4,3.1,3.0
pohang05,18900,-0.6,3.4,3.0
pohang05,19100,-0.1,3.1,3.0
pohang05,19200,-0.1,3.1,3.0
pohang05,19300,-0.1,3.1,3.0
